date,count
2023-08-22,1976
2023-08-23,1913
2023-08-24,1519
2023-08-25,2055
2023-08-26,549
2023-08-27,778
2023-08-28,1123
2023-08-29,2291
2023-08-30,2234
2023-08-31,2629
2023-09-01,2055
2023-09-02,486
2023-09-03,220
2023-09-04,1898
2023-09-05,1703
2023-09-06,1827
2023-09-07,2899
2023-09-08,2535
2023-09-09,286
2023-09-10,740
2023-09-11,2910
2023-09-12,3709
2023-09-13,3370
2023-09-14,3070
2023-09-15,2964
2023-09-16,471
2023-09-17,443
2023-09-18,3547
2023-09-19,1969
2023-09-20,2336
2023-09-21,2208
2023-09-22,2051
2023-09-23,415
2023-09-24,209
2023-09-25,1803
2023-09-26,2345
2023-09-27,2044
2023-09-28,1891
2023-09-29,1969
2023-09-30,449
2023-10-01,533
2023-10-02,1706
2023-10-03,1729
2023-10-04,1592
2023-10-05,1359
2023-10-06,2603
2023-10-07,687
2023-10-08,501
2023-10-09,2319
2023-10-10,1995
2023-10-11,1917
2023-10-12,1749
2023-10-13,1559
2023-10-14,821
2023-10-15,359
2023-10-16,2439
2023-10-17,2778
2023-10-18,2062
2023-10-19,1742
2023-10-20,1485
2023-10-21,460
2023-10-22,929
2023-10-23,2593
2023-10-24,1569
2023-10-25,1676
2023-10-26,1811
2023-10-27,2012
2023-10-28,465
2023-10-29,458
2023-10-30,1665
2023-10-31,1619
2023-11-01,2696
2023-11-02,2197
2023-11-03,2920
2023-11-04,391
2023-11-05,287
2023-11-06,1367
2023-11-07,3157
2023-11-08,3268
2023-11-09,3460
2023-11-10,2655
2023-11-11,2248
2023-11-12,239
2023-11-13,2518
2023-11-14,2266
2023-11-15,3274
2023-11-16,3695
2023-11-17,3043
2023-11-18,1313
2023-11-19,420
2023-11-20,3135
2023-11-21,2839
2023-11-22,1782
2023-11-23,1432
2023-11-24,1352
2023-11-25,425
2023-11-26,304
2023-11-27,2248
2023-11-28,2324
2023-11-29,2252
2023-11-30,2516
2023-12-01,1877
2023-12-02,554
2023-12-03,376
2023-12-04,1546
2023-12-05,2480
2023-12-06,2209
2023-12-07,1796
2023-12-08,3103
2023-12-09,457
2023-12-10,321
2023-12-11,2043
2023-12-12,2247
2023-12-13,1571
2023-12-14,1844
2023-12-15,2808
2023-12-16,621
2023-12-17,382
2023-12-18,2077
2023-12-19,4278
2023-12-20,5253
2023-12-21,2313
2023-12-22,2978
2023-12-23,579
2023-12-24,311
2023-12-25,290
2023-12-26,482
2023-12-27,716
2023-12-28,649
2023-12-29,708
2023-12-30,463
2023-12-31,460
2024-01-01,559
2024-01-02,1811
2024-01-03,3305
2024-01-04,3113
2024-01-05,3182
2024-01-06,923
2024-01-07,1075
2024-01-08,3369
2024-01-09,2885
2024-01-10,2959
2024-01-11,2708
2024-01-12,3682
2024-01-13,1312
2024-01-14,572
2024-01-15,3158
2024-01-16,3788
2024-01-17,3973
2024-01-18,2218
2024-01-19,1773
2024-01-20,1227
2024-01-21,579
2024-01-22,1965
2024-01-23,2244
2024-01-24,3724
2024-01-25,2620
2024-01-26,2717
2024-01-27,568
2024-01-28,415
2024-01-29,1912
2024-01-30,2492
2024-01-31,2810
2024-02-01,5476
2024-02-02,3339
2024-02-03,706
2024-02-04,862
2024-02-05,2414
2024-02-06,2071
2024-02-07,2122
2024-02-08,3254
2024-02-09,2268
2024-02-10,469
2024-02-11,509
2024-02-12,2320
2024-02-13,2829
2024-02-14,4053
2024-02-15,3435
2024-02-16,3556
2024-02-17,623
2024-02-18,455
2024-02-19,2011
2024-02-20,2054
2024-02-21,1958
