date,pip_new,pip_total,bioconda_total,bioconda_new,biocontainers_quay_new,biocontainers_quay_total,prs_new,contributors_pr,contributors_new,prs_total,contributors_total,modules_new,modules_total,biocontainers_aws_total,dockerhub_total,clones_total
2015-09-03,,,,,,,1,1,1,1,1,,,,,
2015-09-04,,,,,,,0,0,0,1,1,,,,,
2015-09-05,,,,,,,0,0,0,1,1,,,,,
2015-09-06,,,,,,,0,0,0,1,1,,,,,
2015-09-07,,,,,,,0,0,0,1,1,,,,,
2015-09-08,,,,,,,0,0,0,1,1,,,,,
2015-09-09,,,,,,,0,0,0,1,1,,,,,
2015-09-10,,,,,,,1,1,0,2,1,,,,,
2015-09-11,,,,,,,0,0,0,2,1,,,,,
2015-09-12,,,,,,,0,0,0,2,1,,,,,
2015-09-13,,,,,,,0,0,0,2,1,,,,,
2015-09-14,,,,,,,0,0,0,2,1,,,,,
2015-09-15,,,,,,,1,1,1,3,2,,,,,
2015-09-16,,,,,,,1,1,0,4,2,,,,,
2015-09-17,,,,,,,0,0,0,4,2,,,,,
2015-09-18,,,,,,,0,0,0,4,2,,,,,
2015-09-19,,,,,,,0,0,0,4,2,,,,,
2015-09-20,,,,,,,0,0,0,4,2,,,,,
2015-09-21,,,,,,,0,0,0,4,2,,,,,
2015-09-22,,,,,,,0,0,0,4,2,,,,,
2015-09-23,,,,,,,0,0,0,4,2,,,,,
2015-09-24,,,,,,,0,0,0,4,2,,,,,
2015-09-25,,,,,,,1,1,1,5,3,11.0,11.0,,,
2015-09-26,,,,,,,0,0,0,5,3,0.0,11.0,,,
2015-09-27,,,,,,,1,1,0,6,3,0.0,11.0,,,
2015-09-28,,,,,,,2,2,1,8,4,0.0,11.0,,,
2015-09-29,,,,,,,0,0,0,8,4,0.0,11.0,,,
2015-09-30,,,,,,,1,1,1,9,5,0.0,11.0,,,
2015-10-01,,,,,,,0,0,0,9,5,0.0,11.0,,,
2015-10-02,,,,,,,0,0,0,9,5,0.0,11.0,,,
2015-10-03,,,,,,,0,0,0,9,5,0.0,11.0,,,
2015-10-04,,,,,,,0,0,0,9,5,0.0,11.0,,,
2015-10-05,,,,,,,0,0,0,9,5,0.0,11.0,,,
2015-10-06,,,,,,,2,1,0,11,5,0.0,11.0,,,
2015-10-07,,,,,,,1,1,0,12,5,0.0,11.0,,,
2015-10-08,,,,,,,0,0,0,12,5,0.0,11.0,,,
2015-10-09,,,,,,,0,0,0,12,5,0.0,11.0,,,
2015-10-10,,,,,,,0,0,0,12,5,0.0,11.0,,,
2015-10-11,,,,,,,0,0,0,12,5,0.0,11.0,,,
2015-10-12,,,,,,,1,1,0,13,5,1.0,12.0,,,
2015-10-13,,,,,,,1,1,0,14,5,0.0,12.0,,,
2015-10-14,,,,,,,1,1,1,15,6,0.0,12.0,,,
2015-10-15,,,,,,,0,0,0,15,6,0.0,12.0,,,
2015-10-16,,,,,,,1,1,0,16,6,0.0,12.0,,,
2015-10-17,,,,,,,0,0,0,16,6,0.0,12.0,,,
2015-10-18,,,,,,,0,0,0,16,6,0.0,12.0,,,
2015-10-19,,,,,,,0,0,0,16,6,0.0,12.0,,,
2015-10-20,,,,,,,0,0,0,16,6,0.0,12.0,,,
2015-10-21,,,,,,,0,0,0,16,6,0.0,12.0,,,
2015-10-22,,,,,,,1,1,0,17,6,0.0,12.0,,,
2015-10-23,,,,,,,0,0,0,17,6,0.0,12.0,,,
2015-10-24,,,,,,,0,0,0,17,6,0.0,12.0,,,
2015-10-25,,,,,,,0,0,0,17,6,0.0,12.0,,,
2015-10-26,,,,,,,1,1,0,18,6,0.0,12.0,,,
2015-10-27,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-10-28,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-10-29,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-10-30,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-10-31,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-11-01,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-11-02,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-11-03,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-11-04,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-11-05,,,,,,,0,0,0,18,6,0.0,12.0,,,
2015-11-06,,,,,,,1,1,0,19,6,0.0,12.0,,,
2015-11-07,,,,,,,2,1,0,21,6,0.0,12.0,,,
2015-11-08,,,,,,,0,0,0,21,6,0.0,12.0,,,
2015-11-09,,,,,,,0,0,0,21,6,0.0,12.0,,,
2015-11-10,,,,,,,1,1,0,22,6,0.0,12.0,,,
2015-11-11,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-12,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-13,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-14,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-15,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-16,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-17,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-18,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-19,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-20,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-21,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-22,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-23,,,,,,,0,0,0,22,6,0.0,12.0,,,
2015-11-24,,,,,,,1,1,0,23,6,0.0,12.0,,,
2015-11-25,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-11-26,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-11-27,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-11-28,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-11-29,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-11-30,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-12-01,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-12-02,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-12-03,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-12-04,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-12-05,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-12-06,,,,,,,0,0,0,23,6,0.0,12.0,,,
2015-12-07,,,,,,,0,0,0,23,6,0.0,12.0,,,
